نام موسسه,عنوان دوره,مبلغ دوره,بازه سنی,مقطع تحصیلی
"مجموعه فرهنگی ورزشی علی ابن ابی طالب(پهلوان سرا)
شماره تماس: 03134451405-03134451406
آدرس: میدان شهدا، ابتدای خیابان ابن سینا",فیتنس فانکشنال بانوان,1420000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"مجموعه فرهنگی ورزشی علی ابن ابی طالب(پهلوان سرا)
شماره تماس: 03134451405-03134451406
آدرس: میدان شهدا، ابتدای خیابان ابن سینا",TRX فانکشنال  بانوان,1420000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"مجموعه فرهنگی ورزشی علی ابن ابی طالب(پهلوان سرا)
شماره تماس: 03134451405-03134451406
آدرس: میدان شهدا، ابتدای خیابان ابن سینا",پیلاتس بانوان,1420000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"مجموعه فرهنگی ورزشی علی ابن ابی طالب(پهلوان سرا)
شماره تماس: 03134451405-03134451406
آدرس: میدان شهدا، ابتدای خیابان ابن سینا",تندرستی و سلامت بانوان,3600000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"مجموعه فرهنگی ورزشی علی ابن ابی طالب(پهلوان سرا)
شماره تماس: 03134451405-03134451406
آدرس: میدان شهدا، ابتدای خیابان ابن سینا",یوگا و خودآگاهی بانوان,1650000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"مجموعه فرهنگی ورزشی علی ابن ابی طالب(پهلوان سرا)
شماره تماس: 03134451405-03134451406
آدرس: میدان شهدا، ابتدای خیابان ابن سینا",ایروفیتنس بانوان,1420000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"مجموعه فرهنگی ورزشی علی ابن ابی طالب(پهلوان سرا)
شماره تماس: 03134451405-03134451406
آدرس: میدان شهدا، ابتدای خیابان ابن سینا",چربی سوزی بانوان,1420000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"مجموعه فرهنگی ورزشی علی ابن ابی طالب(پهلوان سرا)
شماره تماس: 03134451405-03134451406
آدرس: میدان شهدا، ابتدای خیابان ابن سینا",TRX  بانوان,1600000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"مجموعه فرهنگی ورزشی علی ابن ابی طالب(پهلوان سرا)
شماره تماس: 03134451405-03134451406
آدرس: میدان شهدا، ابتدای خیابان ابن سینا",ژیمناستیک مقدماتی بانوان,1220000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"مجموعه فرهنگی ورزشی علی ابن ابی طالب(پهلوان سرا)
شماره تماس: 03134451405-03134451406
آدرس: میدان شهدا، ابتدای خیابان ابن سینا",ژیمناستیک پیشرفته بانوان,1550000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"مجموعه فرهنگی ورزشی علی ابن ابی طالب(پهلوان سرا)
شماره تماس: 03134451405-03134451406
آدرس: میدان شهدا، ابتدای خیابان ابن سینا",کونگ فوتوا و دفاع شخصی آقایان,1220000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"مجموعه فرهنگی ورزشی علی ابن ابی طالب(پهلوان سرا)
شماره تماس: 03134451405-03134451406
آدرس: میدان شهدا، ابتدای خیابان ابن سینا",تکواندو آقایان,1220000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"مجموعه فرهنگی ورزشی علی ابن ابی طالب(پهلوان سرا)
شماره تماس: 03134451405-03134451406
آدرس: میدان شهدا، ابتدای خیابان ابن سینا",رزم آوران آقایان,1220000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"مجموعه فرهنگی ورزشی علی ابن ابی طالب(پهلوان سرا)
شماره تماس: 03134451405-03134451406
آدرس: میدان شهدا، ابتدای خیابان ابن سینا",کاراته آقایان,1130000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"مجموعه فرهنگی ورزشی علی ابن ابی طالب(پهلوان سرا)
شماره تماس: 03134451405-03134451406
آدرس: میدان شهدا، ابتدای خیابان ابن سینا",ووشو آقایان,1220000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"مجموعه فرهنگی ورزشی علی ابن ابی طالب(پهلوان سرا)
شماره تماس: 03134451405-03134451406
آدرس: میدان شهدا، ابتدای خیابان ابن سینا",نینجا آقایان,1220000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"مجموعه فرهنگی ورزشی علی ابن ابی طالب(پهلوان سرا)
شماره تماس: 03134451405-03134451406
آدرس: میدان شهدا، ابتدای خیابان ابن سینا",ژیمناستیک بزرگسالان آقایان,2400000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"مجموعه فرهنگی ورزشی علی ابن ابی طالب(پهلوان سرا)
شماره تماس: 03134451405-03134451406
آدرس: میدان شهدا، ابتدای خیابان ابن سینا",آموزش پهلوانی و زورخانه  مقدماتی,850000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"مجموعه فرهنگی ورزشی علی ابن ابی طالب(پهلوان سرا)
شماره تماس: 03134451405-03134451406
آدرس: میدان شهدا، ابتدای خیابان ابن سینا",آموزش پهلوانی و زورخانه  پیشرفته,1000000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"مجموعه فرهنگی ورزشی علی ابن ابی طالب(پهلوان سرا)
شماره تماس: 03134451405-03134451406
آدرس: میدان شهدا، ابتدای خیابان ابن سینا",آموزش پهلوانی و زورخانه  حرفه ای و قهرمانی,1000000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"باشگاه پالاس 60 درصد
(شماره تماس: 09226293177)
آدرس: خیابان رباط، خیابان شیخ فایض، مجتمع طاها 4",بدنسازی 16 جلسه,600000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه پالاس 60 درصد
(شماره تماس: 09226293177)
آدرس: خیابان رباط، خیابان شیخ فایض، مجتمع طاها 4",بدنسازی 20 جلسه,700000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه پالاس 60 درصد
(شماره تماس: 09226293177)
آدرس: خیابان رباط، خیابان شیخ فایض، مجتمع طاها 4",بدنسازی 24 جلسه,800000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه پالاس 60 درصد
(شماره تماس: 09226293177)
آدرس: خیابان رباط، خیابان شیخ فایض، مجتمع طاها 4",هزینه برنامه تمرینی,900000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه پالاس 60 درصد
(شماره تماس: 09226293177)
آدرس: خیابان رباط، خیابان شیخ فایض، مجتمع طاها 4",حرکات اصلاحی(نیمه خصوصی),900000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه پالاس 60 درصد
(شماره تماس: 09226293177)
آدرس: خیابان رباط، خیابان شیخ فایض، مجتمع طاها 4",بدنسازی 16 جلسه,600000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"باشگاه پالاس 60 درصد
(شماره تماس: 09226293177)
آدرس: خیابان رباط، خیابان شیخ فایض، مجتمع طاها 4",بدنسازی 20 جلسه,700000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"باشگاه پالاس 60 درصد
(شماره تماس: 09226293177)
آدرس: خیابان رباط، خیابان شیخ فایض، مجتمع طاها 4",بدنسازی 24 جلسه,800000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"باشگاه پالاس 60 درصد
(شماره تماس: 09226293177)
آدرس: خیابان رباط، خیابان شیخ فایض، مجتمع طاها 4",هزینه برنامه تمرینی,900000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"باشگاه پالاس 60 درصد
(شماره تماس: 09226293177)
آدرس: خیابان رباط، خیابان شیخ فایض، مجتمع طاها 4",حرکات اصلاحی(نیمه خصوصی),900000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"باشگاه پالاس 60 درصد
(شماره تماس: 09226293177)
آدرس: خیابان رباط، خیابان شیخ فایض، مجتمع طاها 4",بدنسازی 16 جلسه,600000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"باشگاه پالاس 60 درصد
(شماره تماس: 09226293177)
آدرس: خیابان رباط، خیابان شیخ فایض، مجتمع طاها 4",بدنسازی 20 جلسه,700000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"باشگاه پالاس 60 درصد
(شماره تماس: 09226293177)
آدرس: خیابان رباط، خیابان شیخ فایض، مجتمع طاها 4",بدنسازی 24 جلسه,800000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"باشگاه پالاس 60 درصد
(شماره تماس: 09226293177)
آدرس: خیابان رباط، خیابان شیخ فایض، مجتمع طاها 4",هزینه برنامه تمرینی,900000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"باشگاه پالاس 60 درصد
(شماره تماس: 09226293177)
آدرس: خیابان رباط، خیابان شیخ فایض، مجتمع طاها 4",حرکات اصلاحی(نیمه خصوصی),900000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"باشگاه پالاس 60 درصد
(شماره تماس: 09226293177)
آدرس: خیابان رباط، خیابان شیخ فایض، مجتمع طاها 4",بدنسازی 16 جلسه,600000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"باشگاه پالاس 60 درصد
(شماره تماس: 09226293177)
آدرس: خیابان رباط، خیابان شیخ فایض، مجتمع طاها 4",بدنسازی 20 جلسه,700000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"باشگاه پالاس 60 درصد
(شماره تماس: 09226293177)
آدرس: خیابان رباط، خیابان شیخ فایض، مجتمع طاها 4",بدنسازی 24 جلسه,800000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"باشگاه پالاس 60 درصد
(شماره تماس: 09226293177)
آدرس: خیابان رباط، خیابان شیخ فایض، مجتمع طاها 4",هزینه برنامه تمرینی,900000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"باشگاه پالاس 60 درصد
(شماره تماس: 09226293177)
آدرس: خیابان رباط، خیابان شیخ فایض، مجتمع طاها 4",حرکات اصلاحی(نیمه خصوصی),900000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",ایروریتم دختران تک جلسه ای,195000 تومان,4-5-6-,پیش دبستانی(5 سال یا کمتر)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",ایروریتم دختران 8 جلسه,1200000 تومان,4-5-6-,پیش دبستانی(5 سال یا کمتر)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",ایروریتم دختران 12 جلسه,1430000 تومان,4-5-6-,پیش دبستانی(5 سال یا کمتر)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",بازی ژیمناستیک دختران تک جلسه ای,145000 تومان,4-5-6-,پیش دبستانی(5 سال یا کمتر)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",بازی ژیمناستیک دختران 12 جلسه,1200000 تومان,4-5-6-,پیش دبستانی(5 سال یا کمتر)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",ایروریتم دختران تک جلسه ای,195000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",ایروریتم دختران 8 جلسه,1200000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",ایروریتم دختران 12 جلسه,1430000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",ژیمناستیک مقدماتی دختران تک جلسه ای,145000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",ژیمناستیک مقدماتی دختران 12 جلسه,1200000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",یوگا بانوان 8 جلسه,195000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",یوگا بانوان 12 جلسه,1200000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",یوگا بانوان تک جلسه ای,1430000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",یوگا بانوان 8 جلسه,145000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",پیلاتس اصلاحی بانوان تک جلسه ای,900000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",پیلاتس اصلاحی  بانوان 8 جلسه,225000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",پیلاتس اصلاحی  بانوان  12 جلسه,1400000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",پیلاتس بانوان تک جلسه ای,1650000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",پیلاتس  بانوان 8 جلسه,145000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",پیلاتس  بانوان  12 جلسه,975000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",پاورفیت بانوان تک جلسه ای,1200000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",پاورفیت بانوان 12 جلسه,195000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",چربی سوزی بانوان  تک جلسه ای,1430000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",چربی سوزی بانوان 8 جلسه ای,195000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",فیتنس بانوان تک جلسه ای,1200000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",فیتنس بانوان 8 جلسه,195000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",فیتنس بانوان 12 جلسه,1200000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",فیتنس بانوان تک جلسه ای,1430000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",فیتنس بانوان 8 جلسه,225000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",فیتنس بانوان 12 جلسه,1400000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",فیتنس بانوان 12 جلسه,1650000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",فیتنس پامپ بانوان تک جلسه ای,1500000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",فیتنس پامپ بانوان 8 جلسه,195000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",فیتنس پامپ بانوان 12 جلسه,1200000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",ایروبیک بانوان تک جلسه ای,1430000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",ایروبیک بانوان8 جلسه,195000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",ایروبیک بانوان 12 جلسه,1200000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",ایروریتم دختران تک جلسه ای,1430000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",ایروریتم دختران 8 جلسه,195000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",ایروریتم دختران 12 جلسه,1200000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",بادی ریتمیک بانوان تک جلسه ای,1430000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",بادی ریتمیک بانوان8 جلسه,195000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",تکواندو بانوان تک جلسه ای,1200000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",تکواندو بانوان 8 جلسه,230000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",کاراته بانوان تک جلسه ای,1350000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",کاراته بانوان 8 جلسه,165000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",ووشو بانوان تک جلسه ای,1200000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",ووشو بانوان 8 جلسه,165000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",ووشو بانوان 12 جلسه,1130000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",جوجیتسو بانوان تک جلسه ای,1300000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",جوجیتسو بانوان 8 جلسه,165000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",نینجا بانوان تک جلسه ای,1200000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",نینجا بانوان 8 جلسه,165000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",نینجا بانوان 12 جلسه,1000000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",TRXفیتنس بانوان تک جلسه ای,1300000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",TRXفیتنس بانوان 12 جلسه,225000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",والیبال مقدماتی دختران تک جلسه ای,1650000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",والیبال مقدماتی دختران 8 جلسه,145000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",والیبال مقدماتی دختران 12 جلسه,975000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",ژیمناستیک مقدماتی دختران تک جلسه ای,1200000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",ژیمناستیک مقدماتی دختران 8 جلسه,145000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",ژیمناستیک مقدماتی دختران 12 جلسه,975000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",ژیمناستیک نیمه پیشرفته دختران تک جلسه ای,1200000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",ژیمناستیک نیمه پیشرفته دختران 12 جلسه,195000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",ژیمناستیک پیشرفته دختران تک جلسه ای,1500000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",ژیمناستیک پیشرفته دختران 12 جلسه,195000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",ژیمناستیک پسران تک جلسه ای,1500000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",ژیمناستیک پسران 8 جلسه,165000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",ژیمناستیک پسران 12 جلسه,975000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",یوگا بانوان 8 جلسه,195000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",یوگا بانوان 12 جلسه,1200000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"باشگاه ورزشی شاهین
(شماره تماس:03132757301-09395082343)
آدرس: خیابان جی، خیابان همدانیان، جنب پمپ بنزین",یوگا بانوان تک جلسه ای,1430000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
