نام موسسه,عنوان دوره,مبلغ دوره,بازه سنی,مقطع تحصیلی
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",خوشنویسی و تحریر,1700000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",تولید محتوای فرهنگی,1500000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",تئاتر و بازیگری نوجوان,1000000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",عکاسی با موبایل,1700000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",نقاشی,2800000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",هوش مصنوعی,2900000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",ICDL,2400000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",پایتون نوجوانان,9500000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",طراحی سایت,4500000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",فن بیان,4500000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",فتوشاپ مقدماتی و پیشرفته,2400000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",صداسازی قرآنی و زیباخوانی قرآن و اذان,9000000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",مهارت های ارتباطی,1200000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",سواد رسانه ای,2400000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",خبرنگاری و نشریه,1200000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",خوشنویسی و تحریر,1700000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",تولید محتوای فرهنگی,1500000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",تئاتر و بازیگری نوجوان,1000000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",عکاسی با موبایل,1700000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",نقاشی,2800000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",راه اندازی مشاغل خانگی,3500000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",ICDL,250000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",امداد و نجات,9500000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"جهاد دانشگاهی صنعتی اصفهان 20 درصد
(شماره تماس : 0313849)
آدرس شعب در فایل پیوست",زبان انگلیسی,2600000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"جهاد دانشگاهی صنعتی اصفهان 20 درصد
(شماره تماس : 0313849)
آدرس شعب در فایل پیوست",زبان انگلیسی,2600000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"جهاد دانشگاهی صنعتی اصفهان 20 درصد
(شماره تماس : 0313849)
آدرس شعب در فایل پیوست",فوتوشاپ,4500000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"جهاد دانشگاهی صنعتی اصفهان 20 درصد
(شماره تماس : 0313849)
آدرس شعب در فایل پیوست",زبان انگلیسی,3900000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"جهاد دانشگاهی صنعتی اصفهان 20 درصد
(شماره تماس : 0313849)
آدرس شعب در فایل پیوست",باشگاه کارآفرین نوجوان,2600000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"جهاد دانشگاهی صنعتی اصفهان 20 درصد
(شماره تماس : 0313849)
آدرس شعب در فایل پیوست",طراحی سایت,4500000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"جهاد دانشگاهی صنعتی اصفهان 20 درصد
(شماره تماس : 0313849)
آدرس شعب در فایل پیوست",افترافکت,6400000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"جهاد دانشگاهی صنعتی اصفهان 20 درصد
(شماره تماس : 0313849)
آدرس شعب در فایل پیوست",زبان انگلیسی,5400000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"جهاد دانشگاهی صنعتی اصفهان 20 درصد
(شماره تماس : 0313849)
آدرس شعب در فایل پیوست",تولید محتوا با هوش مصنوعی,2600000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"جهاد دانشگاهی صنعتی اصفهان 20 درصد
(شماره تماس : 0313849)
آدرس شعب در فایل پیوست",باشگاه کارآفرین نوجوان,3600000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"جهاد دانشگاهی صنعتی اصفهان 20 درصد
(شماره تماس : 0313849)
آدرس شعب در فایل پیوست",طراحی سایت,6400000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"جهاد دانشگاهی صنعتی اصفهان 20 درصد
(شماره تماس : 0313849)
آدرس شعب در فایل پیوست",افترافکت,6400000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"جهاد دانشگاهی صنعتی اصفهان 20 درصد
(شماره تماس : 0313849)
آدرس شعب در فایل پیوست",زبان انگلیسی,5400000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"جهاد دانشگاهی صنعتی اصفهان 20 درصد
(شماره تماس : 0313849)
آدرس شعب در فایل پیوست",تولید محتوا با هوش مصنوعی,3000000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"جهاد دانشگاهی صنعتی اصفهان 20 درصد
(شماره تماس : 0313849)
آدرس شعب در فایل پیوست",یادگیری ماشین,3600000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"مجتمع آموزشی متاکو 15 درصد
(شماره تماس : 03136683290)
آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای",پرامپت نویسی و راستی آزمایی Al,6800000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
